x,y,z,nx,ny,nz,r,g,b,curvature,label
-0.2148831752979542,0.9436844079081117,-0.05714975499738724,0.06776400832849434,-0.1616527107292406,-0.9845183798635475,0.6823529411764706,0.10588235294117647,0.08627450980392157,1.0,red_cylinder
-0.19137450690208466,0.9448196824144955,-0.05481635027263261,0.07011511136926568,-0.14391443346882246,-0.9871030883332419,0.6901960784313725,0.11372549019607843,0.09803921568627451,1.0000000000000002,red_cylinder
-0.15615073480608238,0.9461951597674416,-0.05248239244921814,0.0530626286413442,-0.12487856145670063,-0.9907520892383603,0.7215686274509804,0.11372549019607843,0.10588235294117647,1.0,red_cylinder
-0.1324223282140649,0.9473051497636611,-0.051410447739386814,0.06334500520558177,-0.10659328844454834,-0.9922828634890769,0.7058823529411765,0.10588235294117647,0.10196078431372549,0.9999999999999999,red_cylinder
-0.09728776303048658,0.948690740920673,-0.048599600350042516,0.059701200515343965,-0.09636015980690221,-0.9935544707055648,0.7019607843137254,0.10980392156862745,0.08627450980392157,1.0,red_cylinder
-0.07352711868800944,0.9497982024658759,-0.0478407094816848,0.025656387232292233,-0.09065426452332921,-0.995551884191839,0.6745098039215687,0.10196078431372549,0.08235294117647059,0.9999999999999999,red_cylinder
-0.03793032105298724,0.9511408099556082,-0.04719670510638681,0.027472151754331462,-0.08859456351967547,-0.9956888490852679,0.6980392156862745,0.11372549019607843,0.08627450980392157,1.0,red_cylinder
-0.014175365725297099,0.9522609137558934,-0.046291756684782255,0.023385949681432913,-0.08340294838773275,-0.99624145946539,0.7058823529411765,0.12549019607843137,0.10980392156862745,0.9999999999999998,red_cylinder
0.021491438397242917,0.9535883505395271,-0.04586642381535964,0.025780537747081125,-0.0767705533381569,-0.9967154288028376,0.6980392156862745,0.12549019607843137,0.11764705882352941,0.9999999999999999,red_cylinder
0.04511949708954522,0.9547059258887959,-0.04462242591526865,0.01832822870745253,-0.07001192513065803,-0.9973777651281113,0.7137254901960784,0.13333333333333333,0.12156862745098039,0.9999999999999997,red_cylinder
0.08092425982067003,0.9560333626724296,-0.04469788437529068,0.004523578673715586,-0.06111156786700356,-0.9981206908529747,0.6901960784313725,0.12156862745098039,0.10588235294117647,1.0,red_cylinder
